Date,Time,Bus Stop,Action,Number of Passengers
2024-09-01,07:00:00,India Gate,Boarding,24
2024-09-01,07:05:00,Red Fort,Boarding,8
2024-09-01,07:10:00,Karol Bagh,Boarding,22
2024-09-01,07:15:00,Delhi University,Boarding,19
2024-09-01,07:20:00,Hauz Khas,Boarding,1
2024-09-01,07:25:00,India Gate,Boarding,8
2024-09-01,07:30:00,Delhi University,Boarding,18
2024-09-01,07:35:00,Chandni Chowk,Deboarding,8
2024-09-01,07:40:00,Nehru Place,Deboarding,26
2024-09-01,07:45:00,Connaught Place,Boarding,23
2024-09-01,07:50:00,Hauz Khas,Deboarding,9
2024-09-01,07:55:00,Karol Bagh,Boarding,25
2024-09-01,08:00:00,Rajiv Chowk,Boarding,3
2024-09-01,08:05:00,Hauz Khas,Boarding,12
2024-09-01,08:10:00,Rajiv Chowk,Deboarding,26
2024-09-01,08:15:00,Connaught Place,Deboarding,18
2024-09-01,08:20:00,India Gate,Deboarding,3
2024-09-01,08:25:00,Delhi University,Deboarding,27
2024-09-01,08:30:00,Gurgaon,Deboarding,19
2024-09-01,08:35:00,Chandni Chowk,Boarding,2
2024-09-01,08:40:00,Chandni Chowk,Deboarding,3
2024-09-01,08:45:00,Chandni Chowk,Boarding,13
2024-09-01,08:50:00,Red Fort,Deboarding,21
2024-09-01,08:55:00,Rajiv Chowk,Boarding,12
2024-09-01,09:00:00,Rajiv Chowk,Boarding,22
2024-09-01,09:05:00,Red Fort,Boarding,20
2024-09-01,09:10:00,Karol Bagh,Boarding,6
2024-09-01,09:15:00,Nehru Place,Deboarding,9
2024-09-01,09:20:00,Delhi University,Boarding,22
2024-09-01,09:25:00,Rajiv Chowk,Boarding,8
2024-09-01,09:30:00,Connaught Place,Deboarding,13
2024-09-01,09:35:00,Red Fort,Boarding,7
2024-09-01,09:40:00,Gurgaon,Deboarding,7
2024-09-01,09:45:00,Nehru Place,Deboarding,29
2024-09-01,09:50:00,Nehru Place,Boarding,9
2024-09-01,09:55:00,Karol Bagh,Boarding,24
2024-09-01,10:00:00,Delhi University,Deboarding,24
2024-09-01,10:05:00,Gurgaon,Deboarding,29
