Bus Stop Start,Bus Stop End,Estimated Fare,Estimated Time
India Gate,Karol Bagh,83.89,179
Connaught Place,Hauz Khas,18.74,139
Hauz Khas,Gurgaon,85.42,68
Delhi University,Chandni Chowk,18.65,62
Nehru Place,Karol Bagh,97.88,138
Karol Bagh,Delhi University,52.18,136
Hauz Khas,India Gate,97.91,24
Delhi University,Rajiv Chowk,64.44,110
Rajiv Chowk,Chandni Chowk,76.53,145
Gurgaon,Rajiv Chowk,13.53,58
India Gate,Rajiv Chowk,35.45,83
Red Fort,Gurgaon,20.82,118
Karol Bagh,Nehru Place,36.65,59
Nehru Place,India Gate,20.69,14
India Gate,Gurgaon,38.62,26
Connaught Place,Rajiv Chowk,47.28,154
Red Fort,Nehru Place,15.77,73
Chandni Chowk,Red Fort,72.32,154
Rajiv Chowk,Hauz Khas,60.99,114
Delhi University,Nehru Place,33.89,12
Red Fort,Hauz Khas,57.09,42
India Gate,Nehru Place,18.45,80
Chandni Chowk,Rajiv Chowk,61.84,166
Hauz Khas,Karol Bagh,93.64,32
Rajiv Chowk,Gurgaon,38.67,165
Chandni Chowk,India Gate,70.07,131
Rajiv Chowk,Connaught Place,21.86,136
Rajiv Chowk,Nehru Place,74.47,14
Gurgaon,Connaught Place,36.05,14
India Gate,Delhi University,26.49,85
Chandni Chowk,Gurgaon,62.79,85
Rajiv Chowk,Karol Bagh,11.81,86
Karol Bagh,India Gate,84.6,147
Red Fort,India Gate,10.42,45
Hauz Khas,Chandni Chowk,71.0,144
Hauz Khas,Nehru Place,34.3,41
Rajiv Chowk,Red Fort,76.17,37
Chandni Chowk,Hauz Khas,96.6,20
Chandni Chowk,Connaught Place,32.39,111
India Gate,Hauz Khas,61.85,89
Connaught Place,Nehru Place,63.28,36
Connaught Place,Gurgaon,61.5,79
Delhi University,Hauz Khas,30.08,174
Delhi University,Red Fort,95.75,42
India Gate,Chandni Chowk,50.24,47
Gurgaon,India Gate,86.18,92
Nehru Place,Hauz Khas,72.95,87
India Gate,Connaught Place,36.77,76
Karol Bagh,Rajiv Chowk,83.24,178
Karol Bagh,Connaught Place,45.69,138
Connaught Place,Karol Bagh,89.3,176
Karol Bagh,Gurgaon,62.31,74
Red Fort,Chandni Chowk,89.36,147
Hauz Khas,Rajiv Chowk,72.33,72
Connaught Place,Red Fort,75.27,13
Karol Bagh,Hauz Khas,55.12,143
Chandni Chowk,Nehru Place,96.05,91
Chandni Chowk,Karol Bagh,67.96,28
Nehru Place,Gurgaon,48.15,55
India Gate,Red Fort,64.58,74
Karol Bagh,Chandni Chowk,11.73,127
Rajiv Chowk,Delhi University,37.14,48
Connaught Place,Chandni Chowk,69.42,118
Gurgaon,Delhi University,36.11,179
Red Fort,Connaught Place,65.62,27
Karol Bagh,Red Fort,48.59,156
Hauz Khas,Delhi University,22.19,144
Gurgaon,Chandni Chowk,36.85,64
Gurgaon,Nehru Place,61.3,177
Nehru Place,Chandni Chowk,63.18,138
Red Fort,Karol Bagh,61.69,47
Gurgaon,Karol Bagh,68.79,46
Rajiv Chowk,India Gate,68.69,145
Red Fort,Rajiv Chowk,48.83,55
Delhi University,Connaught Place,90.69,149
Hauz Khas,Connaught Place,43.08,142
Delhi University,Karol Bagh,49.23,48
Nehru Place,Red Fort,90.27,134
Chandni Chowk,Delhi University,82.56,50
Connaught Place,Delhi University,73.35,72
Nehru Place,Rajiv Chowk,19.02,80
Delhi University,India Gate,92.75,172
Red Fort,Delhi University,74.28,90
Gurgaon,Red Fort,99.9,166
Connaught Place,India Gate,23.45,170
Gurgaon,Hauz Khas,88.13,59
Nehru Place,Delhi University,24.62,18
Nehru Place,Connaught Place,65.4,31
Hauz Khas,Red Fort,21.14,60
Delhi University,Gurgaon,86.32,162
India Gate,Karol Bagh,82.66,154
Connaught Place,Hauz Khas,61.22,95
Hauz Khas,Gurgaon,46.65,20
Delhi University,Chandni Chowk,16.23,170
